Папка	Книга	Лист	Строк на листе	Столбцов на листе	Добавить	Сколько строк нужно	Сколько колонок нужно
Исходники\2022	Зарубеж_01_2022.xlsx	импорт	24158	24	ДА	24158	24
Исходники\2022	Зарубеж_02_2022.xlsx	Импорт	23223	24	ДА	23223	24
Исходники\2022	Зарубеж_03_2022.xlsx	Импорт	23997	23	ДА	23997	23
Исходники\2022	Зарубеж_04_2022.xlsx	импорт	1047770	24	ДА	40000	24
Исходники\2022	зарубеж_05_2022 (2).xlsx	импорт	22928	26	ДА	22928	26
Исходники\2022	Зарубеж_06_2022 (1).xlsx	импорт	23925	22	ДА	23925	22
Исходники\2022	Зарубеж_07_2022 (3).xlsx	импорт	26896	22	ДА	26896	22
Исходники\2022	Зарубеж_08_2022 (1).xlsx	импорт	27686	23	ДА	27686	23
Исходники\2022	зарубеж_09_2022.xlsx	импорт	31608	21	ДА	31608	21
Исходники\2022	зарубеж_10_2022 (1).xlsx	импорт	30140	19	ДА	30140	19
Исходники\2022	зарубеж_11_2022.xlsx	импорт	29920	18	ДА	29920	18
Исходники\2022	зарубеж_12_2022.xlsx	импорт	30482	22	ДА	30482	22
Исходники\2022	Комментарии Зарубеж_01_2022.xlsx	импорт	24487	27	ДА	24487	27
Исходники\2022	Комментарии Зарубеж_02_2022.xlsx	Импорт	1048576	29	ДА	40000	29
Исходники\2022	Комментарии Зарубеж_03_2022.xlsx	Импорт	25369	29	ДА	25369	29
Исходники\2022	Комментарии Зарубеж_04_2022.xlsx	импорт	1048576	26	ДА	40000	26
Исходники\2022	комментарии зарубеж_05_2022.xlsx	импорт	23285	25	ДА	23285	25
Исходники\2022\Новая папка	Зарубеж_06_2022 (30112022).xlsx	импорт	23986	21	ДА	23986	21
Исходники\2022\Новая папка	Зарубеж_08_2022 (01122022).xlsx	импорт	27692	23	ДА	27692	23
Исходники\2023	зарубеж_01_2023 (7).xlsx	импорт	39573	22	ДА	39573	22
Исходники\2023	зарубеж_02_2023 (2).xlsx	Импорт	27370	20	ДА	27370	20
Исходники\2023	зарубеж_03_2023 (3).xlsx	ИМПОРТ	33170	20	ДА	33170	20
Исходники\2023	зарубеж_04_2023 (5).xlsx	ИМПОРТ	31181	18	ДА	31181	18
Исходники\2023	Зарубеж_05_2023 (21).xlsx	ИМПОРТ	34297	20	ДА	34297	20
Исходники\2023	Зарубеж_06_2023 (11).xlsx	ИМПОРТ	32406	20	ДА	32406	20
Исходники\2023	Зарубеж_07_2023 (0).xlsx	ИМПОРТ 07	31461	17	ДА	31461	17
Исходники\2023	Зарубеж_08_2023 (7).xlsx	Импорт 08	30404	22	ДА	30404	22
Исходники\2023	Зарубеж_09_2023 (67).xlsx	ИМПОРТ	26036	21	ДА	26036	21
